Date,Open,High,Low,Close,Adj Close,Volume
2023-01-27,621.474976,625.650024,605.025024,621.275024,619.498047,1806308
2023-01-30,622.500000,622.500000,587.500000,597.275024,595.566711,2803994
2023-01-31,603.250000,603.250000,570.000000,573.125000,571.485779,4138578
2023-02-01,579.724976,592.000000,565.750000,586.424988,584.747742,4015960
2023-02-02,584.924988,588.474976,562.150024,576.974976,575.324707,3471200
2023-02-03,576.950012,587.000000,550.000000,577.450012,575.798401,4873598
2023-02-06,576.724976,619.400024,570.000000,610.924988,609.177673,6533336
2023-02-07,617.549988,657.424988,617.549988,652.049988,650.184998,7773644
2023-02-08,654.000000,675.500000,648.775024,655.250000,653.375854,4088112
2023-02-09,672.474976,672.474976,630.125000,636.849976,635.028503,2776444
2023-02-10,619.500000,642.500000,612.500000,635.900024,634.081238,2382936
2023-02-13,635.900024,653.599976,627.000000,642.025024,640.188721,2175890
2023-02-14,643.924988,649.174988,626.000000,630.650024,628.846252,1821304
2023-02-15,624.000000,643.500000,624.000000,639.450012,637.621094,1365870
2023-02-16,644.299988,647.000000,632.500000,637.299988,635.477234,1257132
2023-02-17,633.500000,646.500000,626.250000,641.599976,639.764893,1020560
2023-02-20,644.950012,667.424988,643.525024,653.750000,651.880127,3616234
2023-02-21,657.400024,673.000000,657.000000,662.250000,660.355835,3581442
2023-02-22,661.000000,666.400024,649.000000,653.375000,651.506226,1662100
2023-02-23,654.500000,657.450012,640.049988,650.349976,648.489868,3012510
2023-02-24,655.000000,662.400024,642.875000,645.775024,643.928040,2569126
2023-02-27,648.000000,650.974976,641.125000,643.474976,641.634521,2211278
2023-02-28,645.000000,665.000000,640.500000,650.375000,648.514832,4383272
2023-03-01,656.000000,675.000000,655.500000,671.950012,670.028076,4298278
2023-03-02,674.424988,675.025024,666.525024,671.125000,669.205444,1354166
2023-03-03,673.000000,681.000000,671.599976,679.250000,677.307190,2437820
2023-03-06,681.500000,688.500000,673.950012,675.549988,673.617798,2361408
2023-03-08,667.250000,679.924988,665.500000,675.000000,673.069397,2374358
2023-03-09,679.500000,689.150024,667.575012,672.875000,670.950439,2780788
2023-03-10,669.000000,676.950012,660.099976,671.900024,669.978271,1301390
2023-03-13,672.500000,677.099976,652.500000,656.275024,654.397949,1376290
2023-03-14,657.474976,672.500000,647.549988,656.250000,654.373047,2144672
2023-03-15,660.474976,689.250000,658.250000,672.825012,670.900574,3512862
2023-03-16,663.799988,665.400024,633.424988,653.075012,651.207092,6200466
2023-03-17,658.500000,664.974976,644.750000,658.099976,656.217651,3914112
2023-03-20,657.700012,657.700012,645.750000,651.474976,649.611633,1127902
2023-03-21,655.424988,675.000000,651.474976,671.724976,669.803711,1683742
2023-03-22,674.500000,682.500000,660.349976,677.275024,675.337891,1745678
2023-03-23,675.000000,683.900024,668.875000,677.549988,675.612061,1857020
2023-03-24,673.174988,697.000000,665.049988,676.000000,674.066528,4067080
2023-03-27,678.500000,687.500000,673.575012,679.400024,677.456848,1563664
2023-03-28,683.325012,686.775024,675.000000,677.400024,675.462524,1350720
2023-03-29,675.000000,694.900024,667.500000,678.724976,676.783691,6747594
2023-03-31,685.049988,697.474976,682.674988,693.500000,691.516479,2530336
2023-04-03,697.500000,710.500000,691.075012,707.224976,705.202209,2968168
2023-04-05,710.000000,737.000000,709.375000,727.000000,724.920654,6799742
2023-04-06,726.974976,727.974976,692.500000,696.750000,694.757141,4460508
2023-04-10,699.500000,708.500000,698.224976,706.849976,704.828247,1635082
2023-04-11,710.450012,722.500000,706.150024,719.125000,717.068176,2292488
2023-04-12,716.500000,727.174988,714.000000,723.700012,722.635010,2270992
2023-04-13,728.700012,730.625000,712.000000,714.775024,713.723145,1771748
2023-04-17,717.950012,729.750000,711.325012,726.049988,724.981506,4409430
2023-04-18,729.974976,729.974976,702.700012,707.250000,706.209167,4441930
2023-04-19,709.500000,723.150024,708.049988,720.025024,718.965393,5291354
2023-04-20,720.000000,720.000000,687.500000,690.875000,689.858276,2937448
2023-04-21,692.900024,702.000000,691.900024,698.599976,697.571899,3615424
2023-04-24,701.224976,726.500000,699.025024,724.849976,723.783264,4022802
2023-04-25,722.525024,730.000000,710.549988,718.625000,717.567444,4041492
2023-04-26,718.000000,726.500000,717.025024,724.424988,723.358887,2913852
2023-04-27,723.000000,732.500000,718.700012,731.674988,730.598206,2289986
2023-04-28,732.750000,733.750000,715.875000,722.599976,721.536560,3313124
2023-05-02,730.000000,739.924988,700.000000,707.549988,706.508728,7972194
2023-05-03,714.000000,727.500000,712.500000,715.099976,714.047607,3886042
2023-05-04,717.500000,723.974976,715.849976,721.299988,720.238464,2610986
2023-05-05,718.500000,729.200012,717.049988,726.299988,725.231140,2647812
2023-05-08,727.500000,731.500000,725.750000,728.224976,727.153320,663148
2023-05-09,733.125000,764.650024,730.049988,752.724976,751.617249,4431244
2023-05-10,757.400024,810.000000,757.325012,803.200012,802.018005,6747814
2023-05-11,810.000000,827.000000,784.025024,789.799988,788.637695,3463818
2023-05-12,797.700012,797.700012,775.000000,777.974976,776.830078,1610860
2023-05-15,778.000000,797.974976,775.500000,779.299988,778.153137,1310826
2023-05-16,783.200012,805.000000,781.025024,787.025024,785.866821,1596812
2023-05-17,791.500000,812.000000,790.000000,793.875000,792.706726,4308262
2023-05-18,799.625000,807.200012,784.000000,788.075012,786.915222,1634662
2023-05-19,790.900024,803.500000,790.000000,793.775024,792.606873,1330242
2023-05-22,796.924988,800.700012,787.000000,792.250000,791.084106,791386
2023-05-23,794.375000,796.099976,770.500000,777.924988,776.780151,1377104
2023-05-24,781.174988,813.000000,781.174988,807.400024,806.211853,2251352
2023-05-25,808.974976,815.000000,797.200012,808.825012,807.634705,1405766
2023-05-26,815.000000,873.500000,812.500000,850.974976,849.722656,5425654
2023-05-29,862.000000,862.000000,840.049988,845.875000,844.630188,2035260
2023-05-30,848.400024,848.974976,820.000000,824.150024,822.937195,2358862
2023-05-31,825.000000,850.900024,813.000000,847.224976,845.978149,4053410
2023-06-01,845.400024,861.450012,835.000000,844.500000,843.257202,1723410
2023-06-02,850.349976,857.150024,841.849976,847.575012,846.327698,1354676
2023-06-05,852.799988,856.500000,844.200012,852.549988,851.295349,1352616
2023-06-06,857.075012,870.275024,841.000000,843.474976,842.233704,3064926
2023-06-07,846.799988,846.799988,820.500000,823.825012,822.612610,6505480
